"","Filtros"
"Cancelada","Não"
"Operação","S - Venda"

"Documento","Código Produto","Cancelada","Operação","Valor item NF","Valor Total Item","Desconto Item","Plano de Pagamento","Qtde Item","Descrição Produto","Linha Produto","Setor Produto","Aprovador Desconto"
"29554","25883","Não","S - Venda","8,75","8,75","0,00","CRÉDITO 1X - REDE CARD","1,00","Plastico Adesivo 45cm Sort Pdz-58","Papelaria","Escolar/escritorio","(blank)"
"29555","9790721","Não","S - Venda","7,50","7,50","0,00","DINHEIRO","2,00","Biscoito Tortinhas Limao 140g","Caixas","Caixas","(blank)"
"29556","1257","Não","S - Venda","1,75","1,75","0,00","DINHEIRO","1,00","Stick Sonho De Valsa 25g","Caixas","Caixas","(blank)"
"29556","1258","Não","S - Venda","1,75","1,75","0,00","DINHEIRO","1,00","Stick Ouro Branco 25g","Caixas","Caixas","(blank)"
"29556","1256","Não","S - Venda","4,75","4,75","0,00","DINHEIRO","1,00","Bis Xtra Black","Caixas","Caixas","(blank)"
"29556","9793022","Não","S - Venda","2,25","2,25","0,00","DINHEIRO","1,00","Chocolate Charge 40g","Caixas","Caixas","(blank)"
"29556","9793024","Não","S - Venda","2,25","2,25","0,00","DINHEIRO","1,00","Chocolate Prestigio 33g","Caixas","Caixas","(blank)"
"29556","45","Não","S - Venda","1,75","1,75","0,00","DINHEIRO","1,00","Bombom Ouro Branco","Caixas","Caixas","(blank)"
"29556","44","Não","S - Venda","1,75","1,75","0,00","DINHEIRO","1,00","Bombom Sonho de Valsa","Caixas","Caixas","(blank)"
"29556","1927","Não","S - Venda","17,25","13,50","3,75","DINHEIRO","1,00","Caneca 330ml Ceramica Be0017 Cafe D01","Loucas de Mesa","Loucas","(blank)"
"29556","20758","Não","S - Venda","2,25","2,25","0,00","DINHEIRO","1,00","Papel Celofane 80x100 Vm","Papelaria","Escolar/escritorio","(blank)"
