Ano,Mês,Código do Produto,Código de Barras,Descrição do Produto,Quantidade,Valor Bruto,Valor Desconto,Valor Líquido,Valor Vale Troca
2023.0,04/2023,7896952520184.0,7896952520184.0,Forma Gelo Divertida,1.0,"5,25","0,00","5,25","0,00"
2023.0,04/2023,7896359033867.0,7896359033867.0,Cj Potes 1.9l Plast Sanremo 3 Pcs,6.0,"180,00","0,00","180,00","0,00"
2023.0,04/2023,7892401002737.0,7892401002737.0,Acucareiro Utility Acrilico Tampa Br,2.0,"23,50","0,00","23,50","0,00"
2023.0,04/2023,7896359012954.0,7896359012954.0,Porta Sabão em Pó Plástico de 1kg - Sanremo,1.0,"21,50","0,00","21,50","0,00"
2023.0,04/2023,7896042036656.0,7896042036656.0,Acucareiro C/ Colher Plasutil,2.0,"21,50","0,00","21,50","0,00"
2023.0,04/2023,7897291832433.0,7897291832433.0,Cj Organiz 625ml Giplas Quad Alto Home Sort Cqah-406,1.0,"13,00","0,00","13,00","0,00"
2023.0,04/2023,7891115057613.0,7891115057613.0,Cesto Croche P Rs Fechado,11.0,"57,75","0,00","57,75","0,00"
2023.0,04/2023,7897386795933.0,7897386795933.0,Dispenser P/Sacolas Chumbo Ou,1.0,"36,25","0,00","36,25","0,00"
2023.0,04/2023,7898121652030.0,7898121652030.0,Boleira Red P,5.0,"73,75","0,00","73,75","0,00"
2023.0,04/2023,7897291832440.0,7897291832440.0,Cj Organiz 1l Giplas Quad Alto Home Sort Cqah-310,2.0,"28,00","0,00","28,00","0,00"
2023.0,04/2023,7891115079455.0,7891115079455.0,Omeleteira Verde Plasvale,3.0,"33,00","0,00","33,00","0,00"
2023.0,04/2023,7895155615406.0,7895155615406.0,Porta Escova C/ Tampa Premium Br Plast,4.0,"82,00","0,00","82,00","0,00"
2023.0,04/2023,7899014662273.0,7899014662273.0,Redutor Sanitario Cajovil Inf Fofura Lfof Br,1.0,"26,75","0,00","26,75","0,00"
2023.0,04/2023,7896359035335.0,7896359035335.0,Cj Pote Sanremo 3 Pcs Plast SR455/3C,2.0,"58,50","0,00","58,50","0,00"
2023.0,04/2023,7899206166848.0,7899206166848.0,"Prato Melamina Red Raso 26,5cm 40040PR",3.0,"92,25","0,00","92,25","0,00"
2023.0,04/2023,7896359013050.0,7896359013050.0,Porta Pão Transparente Pote de Plástico - Sanremo,4.0,"87,00","0,00","87,00","0,00"
2023.0,04/2023,7896201702682.0,7896201702682.0,Porta Garrafa 1l Az,3.0,"119,00","0,00","119,00","33,28"
2023.0,04/2023,7899808885994.0,7899808885994.0,Garrafa 280ml C/ Bomba,1.0,"13,75","0,00","13,75","0,00"
2023.0,04/2023,7896359042982.0,7896359042982.0,Pote Sanremo Plast SR697/555,30.0,"172,50","0,00","172,50","0,00"
2023.0,04/2023,7896021909223.0,7896021909223.0,Cesto Organizador Soprano Gd Vm,-1.0,"0,00","0,00","0,00","0,00"
2023.0,04/2023,7896021909223.0,7896021909223.0,Cesto Organizador Soprano Gd Vm,3.0,"90,00","0,00","90,00","0,00"
2023.0,04/2023,7896359043040.0,7896359043040.0,Pote Sanremo Sort SR10/43,129.0,"580,50","0,00","580,50","0,00"
2023.0,04/2023,7898955006627.0,7898955006627.0,Organizador Modular C/ Div Br 35.5x10.5x7.5cm,8.0,"280,00","0,00","280,00","0,00"
2023.0,04/2023,7895155840426.0,7895155840426.0,Porta Condimentos 300ml Pt,6.0,"120,00","0,00","120,00","0,00"
2023.0,04/2023,7895155615420.0,7895155615420.0,Porta Escova C/ Tampa Premium Br Plast,4.0,"52,00","0,00","52,00","0,00"
2023.0,04/2023,7898955006597.0,7898955006597.0,Organizador Modular Br 30x15x5.2cm,3.0,"80,25","0,00","80,25","0,00"
2023.0,04/2023,7896359000296.0,7896359000296.0,Pote Retang Alto 5.2l Sanremo,17.0,"412,25","0,00","412,25","0,00"
2023.0,04/2023,7895155432805.0,7895155432805.0,Organizador Multiuso Pp Plast Pt S/ Tampa,3.0,"98,25","0,00","98,25","0,00"
2023.0,04/2023,7896553982954.0,7896553982954.0,Meleira Cozy Cristal,1.0,"30,00","0,00","30,00","0,00"
2023.0,04/2023,7897291810929.0,7897291810929.0,Jarra Plast Giplas 1.4l Espremedor Jste-05,5.0,"28,75","0,00","28,75","0,00"
2023.0,04/2023,7897291832211.0,7897291832211.0,Vaso Suspenso Giplas P C/ Haste Sort Va-20,5.0,"71,25","0,00","71,25","0,00"
2023.0,04/2023,7898121650982.0,7898121650982.0,Cesta Rattan 4.0l Az Cl,1.0,"23,50","0,00","23,50","0,00"
2023.0,04/2023,7896359029976.0,7896359029976.0,Tabua Corte Sanremo P Plast,1.0,"19,50","0,78","18,72","0,00"
2023.0,04/2023,20878.0,20878.0,Bombona 5l Pead Virgem Natural 47mm C/Tpa,6.0,"57,00","0,00","57,00","0,00"
2023.0,04/2023,7896456021163.0,7896456021163.0,Porta Talheres Cinquetti Vm Euro C/Tampa,1.0,"34,50","0,00","34,50","0,00"
2023.0,04/2023,7896359013494.0,7896359013494.0,Cesta Empilhável de Plástico 6.3l - Sanremo,3.0,"48,00","0,00","48,00","0,00"
2023.0,04/2023,7891115068954.0,7891115068954.0,Caneca Plasvale 0.200ml Diamante,3.0,"29,25","0,00","29,25","0,00"
2023.0,04/2023,7898943596963.0,7898943596963.0,Cesto Organizador Br 23x16x6.0cm Linea,2.0,"40,00","0,00","40,00","0,00"
2023.0,04/2023,7899206166879.0,7899206166879.0,Tigela Melamina Quad 21cm 650ml 40043PR,3.0,"60,00","0,00","60,00","0,00"
2023.0,04/2023,7896359027743.0,7896359027743.0,Pote 1.8l Retang Plast Sanremo,7.0,"85,75","0,00","85,75","0,00"
2023.0,04/2023,7908439800112.0,7908439800112.0,Banheira Arqplast 35l Az 25558PM,1.0,"51,75","0,00","51,75","0,00"
2023.0,04/2023,7897291810042.0,7897291810042.0,Pote 400ml Giplas Red Alto Sort Pm-04,3.0,"5,25","0,00","5,25","0,00"
2023.0,04/2023,7891575147473.0,7891575147473.0,Tigela 2l Melamina 32x17.5x6.5cm 4747,1.0,"30,75","0,00","30,75","0,00"
2023.0,04/2023,7896359010301.0,7896359010301.0,Peneira Sanremo 18.5cm 324,7.0,"189,00","0,00","189,00","0,00"
2023.0,04/2023,7896359014729.0,7896359014729.0,Açucareiro Plástico Com Colher 350ml - Sanremo,4.0,"80,00","21,30","58,70","0,00"
2023.0,04/2023,7891112325692.0,7891112325692.0,Pote 300ml Tramontina Mixcolor,32.0,"296,00","0,00","296,00","0,00"
2023.0,04/2023,7896359017539.0,7896359017539.0,Caixa Plástica Organizadora Com Grampo de Fechamento 68l - Sanremo,3.0,"385,50","0,00","385,50","0,00"
2023.0,04/2023,7896359042326.0,7896359042326.0,Pote Sanremo Plast SR10/40,80.0,"360,00","0,00","360,00","0,00"
